273.92, -613.43, 180.95, 0
273.91, -613.46, 180.95, 0
273.90, -613.48, 180.95, 0
273.88, -613.50, 180.94, 0
273.87, -613.52, 180.94, 0
273.86, -613.54, 180.94, 0
273.84, -613.57, 180.93, 0
273.83, -613.59, 180.93, 0
273.82, -613.61, 180.93, 0
273.80, -613.63, 180.93, 0
273.79, -613.65, 180.92, 0
273.78, -613.68, 180.92, 0
273.76, -613.70, 180.92, 0
273.75, -613.72, 180.91, 0
273.74, -613.74, 180.91, 0
273.72, -613.76, 180.91, 0
273.71, -613.78, 180.90, 0
273.70, -613.81, 180.90, 0
273.68, -613.83, 180.90, 0
273.67, -613.85, 180.90, 0
273.66, -613.87, 180.89, 0
273.64, -613.89, 180.89, 0
273.63, -613.91, 180.89, 0
273.61, -613.94, 180.88, 0
273.60, -613.96, 180.88, 0
273.59, -613.98, 180.88, 0
273.57, -614.00, 180.87, 0
273.56, -614.02, 180.87, 0
273.55, -614.05, 180.87, 0
273.53, -614.07, 180.87, 0
273.52, -614.09, 180.86, 0
273.50, -614.11, 180.86, 0
273.49, -614.13, 180.86, 0
273.48, -614.15, 180.85, 0
273.46, -614.17, 180.85, 0
273.45, -614.20, 180.85, 0
273.44, -614.22, 180.84, 0
273.42, -614.24, 180.84, 0
273.41, -614.26, 180.84, 0
273.40, -614.29, 180.84, 0
273.38, -614.31, 180.83, 0
273.37, -614.33, 180.83, 0
273.36, -614.35, 180.83, 0
273.35, -614.37, 180.82, 0
273.33, -614.40, 180.82, 0
273.32, -614.42, 180.82, 0
273.31, -614.44, 180.81, 0
273.29, -614.46, 180.81, 0
273.28, -614.48, 180.81, 0
273.27, -614.51, 180.81, 0
273.25, -614.53, 180.80, 0
273.24, -614.55, 180.80, 0
273.23, -614.57, 180.80, 0
273.21, -614.59, 180.79, 0
273.20, -614.61, 180.79, 0
273.19, -614.63, 180.79, 0
273.17, -614.66, 180.79, 0
273.16, -614.68, 180.78, 0
273.15, -614.70, 180.78, 0
273.13, -614.72, 180.78, 0
273.12, -614.74, 180.77, 0
273.10, -614.77, 180.77, 0
273.09, -614.79, 180.77, 0
273.08, -614.81, 180.77, 0
273.07, -614.83, 180.76, 0
273.05, -614.85, 180.76, 0
273.04, -614.87, 180.76, 0
273.03, -614.89, 180.75, 0
273.01, -614.92, 180.75, 0
273.00, -614.94, 180.75, 0
272.99, -614.96, 180.74, 0
272.97, -614.98, 180.74, 0
272.96, -615.00, 180.74, 0
272.95, -615.03, 180.73, 0
272.93, -615.05, 180.73, 0
272.92, -615.07, 180.73, 0
272.91, -615.09, 180.72, 0
272.90, -615.11, 180.72, 0
272.88, -615.14, 180.72, 0
272.87, -615.16, 180.71, 0
272.85, -615.18, 180.71, 0
272.84, -615.20, 180.71, 0
272.83, -615.22, 180.71, 0
272.81, -615.24, 180.70, 0
272.80, -615.27, 180.70, 0
272.79, -615.29, 180.70, 0
