Y:-4.53,AccelZ:10.06, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.55,AccelZ:10.09, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.55,AccelZ:10.07, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.54,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.52,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.52,AccelZ:10.11, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.53,AccelZ:10.07, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.54,AccelZ:10.04, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.54,AccelZ:10.06, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.51,AccelZ:10.09, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.53,AccelZ:10.07, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.51,AccelZ:10.07, GyroX:-0.03,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.33,AccelY:-4.53,AccelZ:10.11, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.34,AccelY:-4.51,AccelZ:10.11, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.31,AccelY:-4.52,AccelZ:10.10, GyroX:-0.04,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.31,AccelY:-4.54,AccelZ:10.07, GyroX:-0.05,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.30,AccelY:-4.54,AccelZ:10.05, GyroX:-0.03,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.30,AccelY:-4.57,AccelZ:10.09, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.29,AccelY:-4.57,AccelZ:10.07, GyroX:-0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.28,AccelY:-4.56,AccelZ:10.07, GyroX:-0.01,GyroY:-0.02,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.53,AccelZ:10.08, GyroX:-0.01,GyroY:-0.02,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.53,AccelZ:10.09, GyroX:-0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.54,AccelZ:10.08, GyroX:0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.53,AccelZ:10.08, GyroX:-0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.53,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.53,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.35,AccelY:-4.53,AccelZ:10.09, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.52,AccelZ:10.06, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.53,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.53,AccelZ:10.12, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.53,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.31,AccelY:-4.52,AccelZ:10.07, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.51,AccelZ:10.05, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.52,AccelZ:10.09, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.52,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.53,AccelZ:10.07, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.52,AccelZ:10.09, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.53,AccelZ:10.09, GyroX:0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.53,AccelZ:10.06, GyroX:0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.53,AccelZ:10.10, GyroX:0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.52,AccelZ:10.12, GyroX:0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.51,AccelZ:10.07, GyroX:-0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.51,AccelZ:10.09, GyroX:0.00,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.49,AccelZ:10.06, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.52,AccelZ:10.06, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.52,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.35,AccelY:-4.52,AccelZ:10.13, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.34,AccelY:-4.49,AccelZ:10.11, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.34,AccelY:-4.51,AccelZ:10.13, GyroX:-0.03,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.34,AccelY:-4.49,AccelZ:10.12, GyroX:-0.03,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.37,AccelY:-4.50,AccelZ:9.94, GyroX:-0.04,GyroY:-0.04,GyroZ:-0.01
AccelX:-0.19,AccelY:-4.82,AccelZ:10.25, GyroX:0.19,GyroY:-0.06,GyroZ:0.01
AccelX:-0.32,AccelY:-4.44,AccelZ:10.42, GyroX:0.02,GyroY:-0.01,GyroZ:-0.00
AccelX:-0.26,AccelY:-4.64,AccelZ:10.06, GyroX:-0.27,GyroY:-0.03,GyroZ:-0.02
AccelX:-0.34,AccelY:-4.54,AccelZ:9.94, GyroX:-0.01,GyroY:-0.00,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.51,AccelZ:10.00, GyroX:0.03,GyroY:-0.05,GyroZ:-0.00
AccelX:-0.30,AccelY:-4.49,AccelZ:10.15, GyroX:0.10,GyroY:-0.02,GyroZ:0.00
AccelX:-0.37,AccelY:-4.49,AccelZ:10.13, GyroX:-0.02,GyroY:-0.02,GyroZ:0.01
AccelX:-0.36,AccelY:-4.51,AccelZ:10.05, GyroX:0.00,GyroY:-0.02,GyroZ:0.01
AccelX:-0.29,AccelY:-4.47,AccelZ:10.11, GyroX:0.04,GyroY:-0.03,GyroZ:0.01
AccelX:-0.33,AccelY:-4.48,AccelZ:10.16, GyroX:0.02,GyroY:-0.02,GyroZ:0.01
AccelX:2.13,AccelY:-3.42,AccelZ:12.07, GyroX:-0.01,GyroY:-0.20,GyroZ:0.26
AccelX:-0.46,AccelY:1.52,AccelZ:11.11, GyroX:0.27,GyroY:-2.08,GyroZ:0.89
AccelX:-0.16,AccelY:-1.90,AccelZ:9.43, GyroX:3.61,GyroY:-1.78,GyroZ:1.85
AccelX:0.03,AccelY:-8.59,AccelZ:9.46, GyroX:3.67,GyroY:-1.87,GyroZ:1.61
AccelX:1.36,AccelY:-8.12,AccelZ:12.09, GyroX:-0.87,GyroY:-2.00,GyroZ:1.16
AccelX:0.45,AccelY:-5.80,AccelZ:17.72, GyroX:-2.70,GyroY:-2.50,GyroZ:0.73
AccelX:0.74,AccelY:-6.53,AccelZ:14.48, GyroX:-1.96,GyroY:-3.56,GyroZ:0.22
AccelX:-0.29,AccelY:-4.28,AccelZ:10.75, GyroX:-1.67,GyroY:-3.56,GyroZ:-0.20
AccelX:-0.34,AccelY:-2.93,AccelZ:10.23, GyroX:-1.72,GyroY:-2.85,GyroZ:-0.01
AccelX:0.79,AccelY:-3.60,AccelZ:11.05, GyroX:-1.85,GyroY:-2.59,GyroZ:0.08
AccelX:1.84,AccelY:-4.42,AccelZ:11.52, GyroX:-1.46,GyroY:-2.22,GyroZ:-0.19
AccelX:2.50,AccelY:-5.67,AccelZ:11.00, GyroX:-1.02,GyroY:-1.93,GyroZ:-0.42
AccelX:2.93,AccelY:-6.51,AccelZ:9.98, GyroX:-1.05,GyroY:-1.73,GyroZ:-0.68
AccelX:3.01,AccelY:-5.85,AccelZ:10.25, GyroX:-1.24,GyroY:-1.65,GyroZ:-0.77
AccelX:3.62,AccelY:-6.11,AccelZ:11.27, GyroX:-1.39,GyroY:-1.91,GyroZ:-0.83
AccelX:3.86,AccelY:-6.18,AccelZ:12.11, GyroX:-1.43,GyroY:-2.28,GyroZ:-0.87
AccelX:3.49,AccelY:-4.97,AccelZ:12.23, GyroX:-1.35,GyroY:-2.77,GyroZ:-0.82
AccelX:2.71,AccelY:-3.35,AccelZ:11.04, GyroX:-1.10,GyroY:-2.98,GyroZ:-0.64
AccelX:2.32,AccelY:-2.29,AccelZ:9.50, GyroX:-1.01,GyroY:-3.23,GyroZ:-0.47
AccelX:2.88,AccelY:-3.64,AccelZ:8.37, GyroX:-0.75,GyroY:-2.94,GyroZ:-0.32
AccelX:3.57,AccelY:-4.12,AccelZ:7.30, GyroX:-0.60,GyroY:-2.71,GyroZ:-0.43
AccelX:4.86,AccelY:-4.56,AccelZ:6.48, GyroX:-0.76,GyroY:-2.54,GyroZ:-0.18
AccelX:3.91,AccelY:-6.64,AccelZ:9.68, GyroX:-2.12,GyroY:-1.70,GyroZ:0.20
AccelX:4.47,AccelY:-4.76,AccelZ:9.05, GyroX:-0.65,GyroY:-2.61,GyroZ:-0.12
AccelX:3.85,AccelY:-4.45,AccelZ:6.82, GyroX:0.08,GyroY:-2.51,GyroZ:-0.09
AccelX:4.75,AccelY:-5.15,AccelZ:5.44, GyroX:-0.23,GyroY:-2.61,GyroZ:0.10
AccelX:5.56,AccelY:-5.49,AccelZ:2.08, GyroX:-0.57,GyroY:-2.05,GyroZ:0.59
AccelX:4.16,AccelY:-5.56,AccelZ:5.43, GyroX:-1.74,GyroY:-1.20,GyroZ:0.91
AccelX:4.02,AccelY:-5.74,AccelZ:6.04, GyroX:-0.67,GyroY:-1.74,GyroZ:1.11
AccelX:4.93,AccelY:-6.43,AccelZ:5.40, GyroX:0.17,GyroY:-1.52,GyroZ:1.03
AccelX:5.39,AccelY:-5.78,AccelZ:6.07, GyroX:0.40,GyroY:-1.30,GyroZ:1.03
AccelX:5.44,AccelY:-4.97,AccelZ:6.80, GyroX:0.45,GyroY:-1.42,GyroZ:1.21
AccelX:5.22,AccelY:-4.08,AccelZ:6.41, GyroX:0.51,GyroY:-1.64,GyroZ:1.60
AccelX:5.43,AccelY:-5.46,AccelZ:6.50, GyroX:0.47,GyroY:-1.74,GyroZ:1.95
AccelX:4.92,AccelY:-5.91,AccelZ:5.13, GyroX:0.48,GyroY:-1.47,GyroZ:2.16
AccelX:5.09,AccelY:-6.15,AccelZ:5.34, GyroX:-0.06,GyroY:-1.46,GyroZ:2.35
AccelX:4.54,AccelY:-6.30,AccelZ:4.82, GyroX:-0.28,GyroY:-1.45,GyroZ:2.69
AccelX:4.22,AccelY:-6.09,AccelZ:4.45, GyroX:-0.24,GyroY:-1.48,GyroZ:2.82
AccelX:4.52,AccelY:-7.02,AccelZ:4.84, GyroX:-0.07,GyroY:-1.38,GyroZ:2.93
AccelX:4.60,AccelY:-6.51,AccelZ:6.42, GyroX:1.17,GyroY:-1.15,GyroZ:3.16
AccelX:4.39,AccelY:-7.97,AccelZ:6.35, GyroX:0.87,GyroY:-1.02,GyroZ:3.35
AccelX:3.83,AccelY:-8.46,AccelZ:5.43, GyroX:0.41,GyroY:-1.21,GyroZ:3.28
AccelX:3.37,AccelY:-8.49,AccelZ:4.97, GyroX:0.22,GyroY:-1.32,GyroZ:3.17
AccelX:3.16,AccelY:-8.70,AccelZ:4.24, GyroX:0.25,GyroY:-1.14,GyroZ:2.91
AccelX:2.63,AccelY:-7.76,AccelZ:4.24, GyroX:0.54,GyroY:-0.76,GyroZ:2.72
AccelX:2.53,AccelY:-8.12,AccelZ:4.46, GyroX:0.35,GyroY:-0.55,GyroZ:2.79
AccelX:2.90,AccelY:-10.75,AccelZ:11.18, GyroX:0.02,GyroY:-1.05,GyroZ:2.84
AccelX:2.25,AccelY:-10.30,AccelZ:1.95, GyroX:0.40,GyroY:-3.51,GyroZ:1.27
AccelX:0.90,AccelY:-7.10,AccelZ:1.24, GyroX:-1.08,GyroY:-1.56,GyroZ:1.56
AccelX:2.12,AccelY:-9.61,AccelZ:3.83, GyroX:-0.69,GyroY:-0.98,GyroZ:1.62
AccelX:1.47,AccelY:-9.35,AccelZ:2.38, GyroX:-0.71,GyroY:-0.95,GyroZ:1.22
AccelX:1.24,AccelY:-8.53,AccelZ:1.90, GyroX:-0.70,GyroY:-0.41,GyroZ:1.29
AccelX:1.24,AccelY:-8.84,AccelZ:2.27, GyroX:-0.49,GyroY:0.02,GyroZ:1.43
AccelX:1.25,AccelY:-10.24,AccelZ:2.80, GyroX:-1.24,GyroY:0.22,GyroZ:1.39
AccelX:1.42,AccelY:-9.41,AccelZ:3.67, GyroX:-1.82,GyroY:0.27,GyroZ:1.11
AccelX:1.56,AccelY:-8.79,AccelZ:4.83, GyroX:-0.50,GyroY:-0.13,GyroZ:1.11
AccelX:0.94,AccelY:-8.64,AccelZ:3.07, GyroX:-0.29,GyroY:-0.21,GyroZ:1.16
AccelX:0.88,AccelY:-9.00,AccelZ:2.74, GyroX:-0.31,GyroY:-0.09,GyroZ:1.21
AccelX:0.79,AccelY:-8.58,AccelZ:2.99, GyroX:-0.38,GyroY:0.08,GyroZ:1.49
AccelX:0.90,AccelY:-9.67,AccelZ:3.26, GyroX:-0.72,GyroY:0.21,GyroZ:1.48
AccelX:0.33,AccelY:-10.12,AccelZ:2.94, GyroX:-0.69,GyroY:0.28,GyroZ:1.68
AccelX:0.22,AccelY:-10.19,AccelZ:2.99, GyroX:-0.73,GyroY:0.32,GyroZ:1.59
AccelX:0.72,AccelY:-10.24,AccelZ:2.78, GyroX:-0.73,GyroY:0.48,GyroZ:1.51
AccelX:-0.69,AccelY:-7.96,AccelZ:3.15, GyroX:-0.74,GyroY:0.80,GyroZ:1.36
AccelX:-0.12,AccelY:-9.29,AccelZ:4.73, GyroX:-0.55,GyroY:0.48,GyroZ:1.58
AccelX:-0.21,AccelY:-9.66,AccelZ:5.16, GyroX:0.08,GyroY:-0.08,GyroZ:1.35
AccelX:-0.84,AccelY:-10.66,AccelZ:4.37, GyroX:0.68,GyroY:-0.50,GyroZ:1.02
