angleX,angleY,angleZ,label
17.98,-10.62,-4.78,0
14.86,-8.94,-8.03,0
11.61,-5.97,-11.29,0
8.36,-2.72,-14.03,0
5.11,0.53,-16.75,0
1.86,3.78,-19.6,0
-0.94,7.03,-22.05,0
-1.56,9.6,-24.27,0
-3.61,11.84,-25.62,0
-6.86,13.3,-26.68,0
-9.37,13.0,-27.78,0
-9.71,10.95,-28.79,0
-9.52,7.87,-29.41,0
-10.06,4.62,-29.63,0
-11.39,1.62,-30.31,0
-13.86,-0.9,-30.49,0
-15.31,-3.02,-30.12,0
-15.65,-4.4,-29.15,0
-16.66,-4.8,-27.56,0
-18.94,-4.2,-25.64,0
-21.68,-3.07,-23.22,0
-23.87,-2.02,-20.3,0
-25.43,-1.41,-17.04,0
-27.16,-1.28,-13.79,0
-28.77,-1.84,-10.54,0
-29.82,-3.13,-8.18,0
-30.23,-5.17,-6.37,0
-30.19,-7.18,-5.09,0
-30.9,-8.76,-4.1,0
-31.82,-10.03,-3.35,0
-32.03,-11.16,-2.56,0
-31.14,-12.34,-1.59,0
-29.26,-13.45,-0.61,0
-28.01,-13.69,0.26,0
-25.67,-14.61,0.02,0
-25.32,-15.75,-1.56,0
-25.86,-17.72,-4.2,0
-23.83,-20.92,-7.44,0
-20.58,-24.17,-10.69,0
-18.27,-27.43,-13.94,0
-17.8,-29.7,-17.2,0
-17.95,-30.46,-20.04,0
-17.5,-30.39,-22.57,0
-16.29,-29.85,-25.39,0
-14.73,-28.56,-28.41,0
-13.18,-26.05,-31.05,0
-11.94,-22.8,-33.13,0
-10.14,-19.55,-34.62,0
-13.4,-16.3,-33.3,0
-16.65,-13.04,-30.04,0
-18.2,-9.79,-26.79,0
-15.85,-6.54,-23.54,0
-12.6,-3.29,-21.15,0
-9.34,-3.29,-20.7,0
-10.63,-6.54,-21.15,0
-13.88,-9.79,-22.96,0
-17.13,-13.04,-25.66,0
-20.38,-16.3,-28.2,0
-19.75,-19.55,-29.04,0
-16.5,-22.8,-29.41,0
-15.06,-25.17,-28.82,0
-18.24,-24.38,-26.98,0
-20.54,-24.03,-26.31,0
-20.51,-23.84,-27.77,0
-23.58,-23.63,-29.23,0
-26.84,-22.18,-29.99,0
-30.06,-21.57,-30.73,0
-27.41,-22.92,-31.36,0
-24.69,-25.42,-31.14,0
-22.81,-27.5,-30.29,0
-21.1,-29.17,-29.13,0
-19.24,-30.15,-27.94,0
-18.25,-30.24,-26.76,0
-18.51,-29.69,-25.68,0
-19.24,-28.81,-25.17,0
-20.1,-28.21,-24.56,0
-19.73,-27.84,-24.53,0
-19.8,-27.23,-24.53,0
-20.7,-26.08,-24.49,0
-21.54,-24.27,-24.25,0
-22.13,-21.48,-23.48,0
-22.79,-18.23,-22.05,0
-22.33,-14.98,-20.71,0
-19.08,-11.73,-19.48,0
-15.83,-8.81,-18.24,0
-14.02,-7.65,-16.96,0
-14.46,-8.23,-16.17,0
-16.65,-9.16,-16.46,0
-19.9,-9.07,-17.77,0
-23.15,-7.86,-20.19,0
-26.4,-6.07,-22.59,0
-29.15,-4.81,-23.97,0
-30.17,-4.53,-24.31,0
-30.08,-4.29,-24.23,0
-29.27,-4.17,-23.95,0
-28.88,-4.07,-23.66,0
-29.89,-3.86,-23.62,0
-32.57,-3.3,-23.87,0
-35.58,-2.19,-24.08,0
-37.57,-0.76,-23.82,0
-37.65,0.73,-22.89,0
-35.78,1.92,-21.34,0
-32.53,-1.33,-19.12,0
-29.28,-4.59,-16.92,0
-32.53,-7.84,-15.08,0
-35.78,-11.09,-14.71,0
-32.53,-14.34,-12.11,0
-29.53,-17.59,-10.12,0
-28.3,-20.84,-8.98,0
-26.87,-24.1,-6.88,0
-27.31,-27.35,-3.78,0
-30.08,-30.6,-2.2,0
